date	1. open	2. high	3. low	4. close	5. volume
2019-12-03	258.31	259.53	256.29	259.45	29377268.0
2019-12-02	267.27	268.25	263.45	264.16	23693550.0
2019-11-29	266.6	268.0	265.9	267.25	11654363.0
2019-11-27	265.58	267.98	265.31	267.84	16386122.0
2019-11-26	266.94	267.16	262.5	264.29	26334882.0
2019-11-25	262.71	266.44	262.52	266.37	21029517.0
2019-11-22	262.59	263.18	260.84	261.78	16331263.0
2019-11-21	263.69	264.005	261.18	262.01	30348778.0
2019-11-20	265.54	266.083	260.4	263.19	26609919.0
2019-11-19	267.9	268.0	265.3926	266.29	19069597.0
2019-11-18	265.8	267.43	264.23	267.1	21700897.0
2019-11-15	263.68	265.78	263.01	265.76	25093666.0
